time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2023-08-31T08:31:49.330Z,33.5943333,-116.723,13.76,1.06,ml,61,35,0.03123,0.17,ci,ci39655682,2023-08-31T16:08:15.110Z,"6 km NW of Anza, CA",earthquake,0.14,0.28,0.165,31,reviewed,ci,ci
2023-08-31T08:00:37.110Z,19.3875007629395,-155.277496337891,1.08000004291534,1.73,ml,14,103,,0.100000001,hv,hv73554462,2023-08-31T08:06:08.980Z,"7 km SW of Volcano, Hawaii",earthquake,0.26,0.230000004,0.26,8,automatic,hv,hv
2023-08-31T07:57:35.680Z,42.5006667,-111.1406667,5.91,2,ml,11,182,0.2662,0.22,uu,uu60548822,2023-08-31T14:25:15.560Z,"19 km E of Georgetown, Idaho",earthquake,1.59,31.61,0.359,6,reviewed,uu,uu
2023-08-31T07:48:39.625Z,63.1982,-151.3317,0,1,ml,,,,0.64,ak,ak023b601qnu,2023-08-31T07:51:16.571Z,"42 km SSE of Denali National Park, Alaska",earthquake,,0.5,,,automatic,ak,ak
2023-08-31T07:28:02.569Z,37.0301,-116.7313,7,1.8,ml,46,45.74,0.114,0.1548,nn,nn00865297,2023-08-31T18:30:04.871Z,"13 km N of Beatty, Nevada",earthquake,,1.4,0.34,27,reviewed,nn,nn
2023-08-31T07:23:37.980Z,19.337,-155.313333333333,3.08,2.33,ml,41,76,,0.11,hv,hv73554422,2023-08-31T15:14:12.310Z,"Island of Hawaii, Hawaii",earthquake,0.24,0.59,0.198487574360057,17,reviewed,hv,hv
2023-08-31T07:23:26.834Z,67.4347,-167.8839,10.095,2.6,mb_lg,22,252,2.164,0.87,us,us7000ksav,2023-08-31T09:47:20.040Z,"112 km SSW of Point Hope, Alaska",earthquake,9.15,9.254,0.18,8,reviewed,us,us
2023-08-31T07:23:02.086Z,37.0382,-116.73,6.9,1.2,ml,40,70.57,0.106,0.1307,nn,nn00865294,2023-08-31T17:21:08.071Z,"14 km N of Beatty, Nevada",earthquake,,1.1,0.26,19,reviewed,nn,nn
2023-08-31T07:13:25.729Z,51.2528,-178.4822,46.426,4.6,mb,204,173,0.366,0.71,us,us7000ksaa,2023-08-31T15:17:36.359Z,"145 km WSW of Adak, Alaska",earthquake,6.7,8.361,0.04,185,reviewed,us,us
2023-08-31T06:33:40.520Z,19.2548333333333,-155.372833333333,31.75,2.68,ml,57,150,,0.13,hv,hv73554397,2023-08-31T17:23:11.670Z,"12 km ENE of Pāhala, Hawaii",earthquake,0.38,0.44,0.137514325584973,34,reviewed,hv,hv
2023-08-31T06:31:16.589Z,35.14328384,-97.52799225,2.971546173,1.87,ml,27,67.83610535,0.07013441622,0.6486849894,ok,ok2023raqq,2023-08-31T06:35:09.443Z,"4 km W of Goldsby, Oklahoma",earthquake,2.153745257,1.645672733,0.18,10,automatic,ok,ok
2023-08-31T06:29:08.207Z,-22.1322,-179.5608,585.448,4.6,mb,80,81,4.165,0.74,us,us7000ksa6,2023-08-31T06:49:47.040Z,"south of the Fiji Islands",earthquake,12.91,6.767,0.04,189,reviewed,us,us
2023-08-31T06:23:20.540Z,19.3610000610352,-155.310501098633,1.07000005245209,1.70000005,md,23,79,,0.239999995,hv,hv73554382,2023-08-31T06:26:36.230Z,"12 km SW of Volcano, Hawaii",earthquake,0.35,0.550000012,0.579999983,15,automatic,hv,hv
2023-08-31T06:16:38.700Z,19.3680000305176,-155.225662231445,28.1900005340576,1.78999996,md,32,97,,0.140000001,hv,hv73554377,2023-08-31T06:19:58.850Z,"8 km S of Volcano, Hawaii",earthquake,0.48,0.419999987,0.939999998,10,automatic,hv,hv
2023-08-31T06:11:40.072Z,31.60349918,-103.9763076,8.522412109,2.6,ml,12,77,0.009623512967,0.1,tx,tx2023rapz,2023-08-31T11:39:05.623Z,"36 km NNW of Toyah, Texas",earthquake,1.165591592,1.113912655,0.1,24,reviewed,tx,tx
2023-08-31T06:00:24.930Z,19.1486663818359,-155.357162475586,29.0699996948242,2.41,ml,48,187,,0.119999997,hv,hv73554362,2023-08-31T06:11:42.040Z,"14 km ESE of Pāhala, Hawaii",earthquake,0.58,0.930000007,2.98,16,automatic,hv,hv
2023-08-31T05:31:04.290Z,37.0908333,-113.7613333,-3.04,1.75,ml,12,170,0.1437,0.13,uu,uu60548807,2023-08-31T16:43:12.022Z,"10 km WSW of Santa Clara, Utah",earthquake,0.58,6.34,0.063,5,reviewed,uu,uu
2023-08-31T05:27:30.180Z,38.4495,-122.497,10.34,1.78,md,74,35,0.07024,0.09,nc,nc73931266,2023-08-31T07:55:13.936Z,"6 km NE of Kenwood, CA",earthquake,0.13,0.27,0.14,68,reviewed,nc,nc
2023-08-31T05:24:37.770Z,36.7561684,-121.2779999,8.14,1.87,md,23,138,,0.08,nc,nc73931261,2023-08-31T06:54:15.598Z,"5 km SE of Tres Pinos, CA",earthquake,0.3,0.52,0.18,22,automatic,nc,nc
2023-08-31T04:39:39.450Z,40.2855,-124.5415,12.22,1.82,md,12,274,0.1522,0.16,nc,nc73931251,2023-08-31T06:29:18.445Z,"22 km WSW of Petrolia, CA",earthquake,0.91,1.02,0.165,8,reviewed,nc,nc
2023-08-31T04:26:44.910Z,19.3626670837402,-155.289840698242,1.92999994754791,1.98,ml,21,114,,0.310000002,hv,hv73554307,2023-08-31T04:32:22.030Z,"10 km SSW of Volcano, Hawaii",earthquake,0.43,0.699999988,0.28,7,automatic,hv,hv
2023-08-31T04:26:44.370Z,19.353,-155.312333333333,-0.61,2.08,ml,17,98,,0.22,hv,hv73554302,2023-08-31T04:40:49.140Z,"12 km SW of Volcano, Hawaii",earthquake,0.3,0.32,0.193510120114802,11,reviewed,hv,hv
2023-08-31T04:23:00.267Z,31.91711426,-102.0238662,8.363525391,2.5,ml,21,52,0.1149880129,0.1,tx,tx2023rami,2023-08-31T16:35:50.419Z,"10 km SSE of Midland, Texas",earthquake,1.651760226,2.165729259,0.2,30,reviewed,tx,tx
2023-08-31T04:22:47.990Z,19.3808326721191,-155.277160644531,-0.0900000035762787,1.89999998,md,14,97,,0.280000001,hv,hv73554297,2023-08-31T04:25:59.650Z,"8 km SSW of Volcano, Hawaii",earthquake,0.31,0.400000006,0.340000004,13,automatic,hv,hv
2023-08-31T04:21:07.670Z,34.0755,-117.2905,15.84,1.08,ml,58,64,0.1066,0.16,ci,ci39655658,2023-08-31T15:57:50.851Z,"2 km E of Colton, CA",earthquake,0.16,0.4,0.125,24,reviewed,ci,ci
2023-08-31T04:18:30.860Z,18.0611666666667,-66.9393333333333,7.35,1.7,md,6,172,0.103,0.19,pr,pr71422768,2023-08-31T04:40:15.280Z,"Puerto Rico region",earthquake,1.53,0.98,0.0499248400997564,4,reviewed,pr,pr
2023-08-31T04:18:15.440Z,18.0581666666667,-66.9343333333333,7.74,1.72,md,6,171,0.09788,0.18,pr,pr71422763,2023-08-31T04:33:42.964Z,"Puerto Rico region",earthquake,1.19,0.68,0.0253789929213806,3,reviewed,pr,pr
2023-08-31T03:58:32.710Z,19.1345,-155.374833333333,29.91,2.76,ml,57,184,,0.12,hv,hv73554282,2023-08-31T17:11:24.220Z,"Island of Hawaii, Hawaii",earthquake,0.39,0.52,0.136595160839715,38,reviewed,hv,hv
2023-08-31T03:53:08.830Z,19.3728333333333,-155.2815,0.82,2.29,ml,19,104,,0.31,hv,hv73554272,2023-08-31T04:47:41.720Z,"9 km SSW of Volcano, Hawaii",earthquake,0.32,0.43,0.160344742752426,14,reviewed,hv,hv
2023-08-31T03:53:08.790Z,19.3988342285156,-155.274002075195,1.11000001430511,2.43,ml,30,38,,0.219999999,hv,hv73554267,2023-08-31T03:58:40.020Z,"6 km SW of Volcano, Hawaii",earthquake,0.21,0.209999993,0.38,15,automatic,hv,hv
